Depth,AMEX Dead,AMEX Live,MFUS Dead,MFUS Live,PLIM Dead,PLIM Live,TINF Dead,TINF Live,JMAC Dead,JMAC Live
0,3.8333333333,1.5833333333,0.0833333333,0.0833333333,0.25,0.0833333333,6.3333333333,2,11.1666666667,4.5833333333
1,5.9166666667,2.6666666667,1.25,0.1666666667,3.3333333333,1.4166666667,12.4166666667,4.0833333333,23.5833333333,10.5833333333
3,9.3333333333,3.8333333333,2.25,1.0833333333,10.4166666667,7.9166666667,31.75,19.25,58.75,31.8333333333
10,11.5833333333,2.8333333333,2.5,0.1666666667,4.6666666667,1,28.5,6.3333333333,51.75,9.5833333333
20,18.9166666667,5.5,1.25,0,4.75,2.25,32.0833333333,10.5833333333,67.1666666667,19.5
30,15.75,6.75,3,1.4166666667,3.4166666667,1.8333333333,59.1666666667,12.0833333333,98.8333333333,24.5833333333
40,18.75,3.0833333333,4.3333333333,1.1666666667,2.5833333333,0.9166666667,61.5,5.5,107.1666666667,14.6666666667
50,19,0.75,0.8333333333,0.25,2.4166666667,0.25,59.5833333333,1.8333333333,101.6666666667,4.25
60,26.9166666667,0.4166666667,0.1666666667,0,1.1666666667,0.0833333333,52.6666666667,0.4166666667,112.3333333333,1
